33,34,51,22,23,51,55,56,62,0,51,49,22,23,51,60,14,15,49,12,60,22,23,2,49,49,51,13,2,33,34,51
0,13,62,33,34,62,13,63,44,45,62,60,33,34,62,88,24,25,60,13,12,33,34,49,60,51,62,44,45,1,0,62
22,23,0,0,88,88,0,13,55,56,0,88,2,2,88,12,35,36,2,44,45,12,0,60,13,62,63,55,56,12,49,12
33,34,88,88,132,133,133,133,133,134,6,7,8,132,133,133,133,133,134,55,56,88,252,325,325,325,325,254,2,1,60,2
88,88,3,4,156,85,101,97,85,158,30,25,32,156,85,251,247,85,158,88,88,88,348,85,241,237,85,350,88,13,13,2
88,88,14,15,156,85,13,11,85,158,30,25,32,156,85,163,161,85,158,6,7,8,348,85,153,151,85,350,88,22,23,13
88,88,51,88,180,181,37,38,181,182,30,25,32,180,181,37,38,181,182,30,25,32,300,373,229,230,373,302,88,33,34,0
88,88,62,88,88,88,156,158,6,7,315,25,314,7,8,156,158,6,7,315,25,314,8,88,348,350,88,49,88,88,1,13
88,88,88,88,88,88,156,158,30,25,25,25,25,25,32,156,158,30,25,25,25,25,32,88,348,350,88,60,88,88,88,12
11,88,88,88,88,88,156,158,30,25,25,25,25,25,32,156,158,30,25,25,25,25,32,88,348,350,88,88,88,88,88,88
362,11,88,88,51,88,156,158,30,25,290,55,55,55,56,156,158,54,55,55,55,291,314,8,348,350,88,88,88,88,88,88
25,35,88,88,62,88,156,158,54,55,56,60,133,133,133,13,14,133,133,133,62,54,55,56,348,350,88,44,45,88,88,9
25,362,11,88,88,88,156,14,133,133,133,13,85,85,85,85,85,85,85,85,14,325,325,325,205,350,88,55,56,88,9,363
25,25,35,88,88,88,108,181,181,181,181,37,85,85,85,85,85,85,85,85,38,373,373,373,373,374,88,88,88,88,33,25
25,25,362,11,88,88,51,88,88,88,88,156,85,85,85,85,85,85,85,85,158,88,88,88,88,88,88,88,88,9,363,25
25,25,25,35,88,88,62,88,51,88,88,156,85,85,85,85,85,85,85,85,158,88,88,88,88,88,9,10,10,363,25,25
25,25,25,35,88,88,88,88,62,88,88,156,85,85,85,85,85,85,85,85,158,88,51,88,9,10,363,25,25,25,25,25
25,25,25,35,88,51,88,88,88,88,88,156,85,85,85,85,85,85,85,85,158,88,62,88,33,25,25,25,25,25,25,25
25,25,338,59,88,62,88,88,88,88,49,180,181,181,181,181,181,181,181,181,182,88,88,88,33,25,25,25,25,25,25,25
25,25,35,88,88,88,88,51,88,88,60,88,88,88,88,88,49,88,88,88,88,88,88,88,33,25,25,25,25,25,25,25
25,338,59,88,88,88,88,62,88,88,88,88,88,88,88,88,60,88,88,88,88,88,88,9,363,25,25,25,25,25,25,25
338,59,88,88,88,88,88,88,88,88,88,88,51,88,88,22,23,88,88,88,51,88,88,33,25,25,25,25,25,25,25,25
35,88,88,88,88,88,88,88,88,88,88,88,62,88,88,33,34,88,88,88,62,88,9,363,25,25,25,25,25,25,25,25
362,10,10,10,10,10,10,10,10,11,88,88,88,88,88,88,88,88,88,88,88,88,33,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,362,10,10,10,10,10,11,88,88,88,9,10,10,363,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,362,10,10,10,363,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
